"UF de notificação";"Casos Prováveis";"Ano"
"11 Rondônia";2250;2015
"12 Acre";5889;2015
"13 Amazonas";3661;2015
"14 Roraima";1108;2015
"15 Pará";7855;2015
"16 Amapá";3394;2015
"17 Tocantins";8017;2015
"21 Maranhão";7982;2015
"22 Piauí";7738;2015
"23 Ceará";63558;2015
"24 Rio Grande do Norte";22958;2015
"25 Paraíba";23498;2015
"26 Pernambuco";111747;2015
"27 Alagoas";27403;2015
"28 Sergipe";9262;2015
"29 Bahia";55592;2015
"31 Minas Gerais";193440;2015
"32 Espírito Santo";35610;2015
"33 Rio de Janeiro";73959;2015
"35 São Paulo";749943;2015
"41 Paraná";45969;2015
"42 Santa Catarina";4536;2015
"43 Rio Grande do Sul";1722;2015
"50 Mato Grosso do Sul";32362;2015
"51 Mato Grosso";21585;2015
"52 Goiás";169034;2015
"53 Distrito Federal";10252;2015
"11 Rondônia";7909;2016
"12 Acre";2250;2016
"13 Amazonas";7506;2016
"14 Roraima";210;2016
"15 Pará";10871;2016
"16 Amapá";1829;2016
"17 Tocantins";7968;2016
"21 Maranhão";23864;2016
"22 Piauí";5298;2016
"23 Ceará";49745;2016
"24 Rio Grande do Norte";57045;2016
"25 Paraíba";35769;2016
"26 Pernambuco";62594;2016
"27 Alagoas";19330;2016
"28 Sergipe";3607;2016
"29 Bahia";67794;2016
"31 Minas Gerais";529022;2016
"32 Espírito Santo";43106;2016
"33 Rio de Janeiro";88127;2016
"35 São Paulo";202755;2016
"41 Paraná";62837;2016
"42 Santa Catarina";5149;2016
"43 Rio Grande do Sul";3197;2016
"50 Mato Grosso do Sul";46746;2016
"51 Mato Grosso";21288;2016
"52 Goiás";129453;2016
"53 Distrito Federal";19591;2016
"11 Rondônia";2194;2017
"12 Acre";1884;2017
"13 Amazonas";3899;2017
"14 Roraima";284;2017
"15 Pará";7826;2017
"16 Amapá";937;2017
"17 Tocantins";4956;2017
"21 Maranhão";7192;2017
"22 Piauí";5300;2017
"23 Ceará";39439;2017
"24 Rio Grande do Norte";7484;2017
"25 Paraíba";3841;2017
"26 Pernambuco";7926;2017
"27 Alagoas";2928;2017
"28 Sergipe";622;2017
"29 Bahia";10098;2017
"31 Minas Gerais";26466;2017
"32 Espírito Santo";6889;2017
"33 Rio de Janeiro";11001;2017
"35 São Paulo";9459;2017
"41 Paraná";2227;2017
"42 Santa Catarina";191;2017
"43 Rio Grande do Sul";183;2017
"50 Mato Grosso do Sul";2314;2017
"51 Mato Grosso";9391;2017
"52 Goiás";64068;2017
"53 Distrito Federal";4249;2017
"11 Rondônia";539;2018
"12 Acre";7283;2018
"13 Amazonas";2325;2018
"14 Roraima";111;2018
"15 Pará";3775;2018
"16 Amapá";775;2018
"17 Tocantins";2867;2018
"21 Maranhão";2167;2018
"22 Piauí";1942;2018
"23 Ceará";4175;2018
"24 Rio Grande do Norte";23807;2018
"25 Paraíba";11007;2018
"26 Pernambuco";11231;2018
"27 Alagoas";2212;2018
"28 Sergipe";237;2018
"29 Bahia";9733;2018
"31 Minas Gerais";29175;2018
"32 Espírito Santo";10267;2018
"33 Rio de Janeiro";14850;2018
"35 São Paulo";18328;2018
"41 Paraná";1424;2018
"42 Santa Catarina";185;2018
"43 Rio Grande do Sul";128;2018
"50 Mato Grosso do Sul";5617;2018
"51 Mato Grosso";7282;2018
"52 Goiás";91545;2018
"53 Distrito Federal";2473;2018
"11 Rondônia";983;2019
"12 Acre";10099;2019
"13 Amazonas";3873;2019
"14 Roraima";1591;2019
"15 Pará";5380;2019
"16 Amapá";198;2019
"17 Tocantins";13797;2019
"21 Maranhão";5638;2019
"22 Piauí";8053;2019
"23 Ceará";16297;2019
"24 Rio Grande do Norte";32077;2019
"25 Paraíba";18842;2019
"26 Pernambuco";37975;2019
"27 Alagoas";20993;2019
"28 Sergipe";6045;2019
"29 Bahia";68115;2019
"31 Minas Gerais";478467;2019
"32 Espírito Santo";64853;2019
"33 Rio de Janeiro";32043;2019
"35 São Paulo";443804;2019
"41 Paraná";45032;2019
"42 Santa Catarina";2154;2019
"43 Rio Grande do Sul";1621;2019
"50 Mato Grosso do Sul";65201;2019
"51 Mato Grosso";11014;2019
"52 Goiás";120464;2019
"53 Distrito Federal";39514;2019